frame_number,track_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
92,106.0,[670.905029296875 576.4176635742188 1113.15576171875 1024.642333984375],[144.1389923095703 213.2676544189453 294.7699890136719 260.83966064453125],0.7708476781845093,KE64GYH,0.8726325798699688
93,106.0,[670.895751953125 576.4240112304688 1113.2567138671875 1024.569091796875],[144.1634979248047 213.27659606933594 294.75177001953125 260.7496643066406],0.7712702751159668,KE64GYH,0.8640100539895068
94,106.0,[670.90869140625 576.3978271484375 1113.3485107421875 1024.57470703125],[143.94320678710938 213.19383239746094 294.8757019042969 260.739990234375],0.7699358463287354,KE64GYH,0.7345745490724217
95,106.0,[670.9952392578125 576.283203125 1113.3310546875 1024.6453857421875],[143.6732940673828 212.80003356933594 295.0106506347656 261.0236511230469],0.7675033211708069,KE64GYA,0.42104852924373687
96,106.0,[670.9491577148438 576.299072265625 1113.2991943359375 1024.7379150390625],[143.7612762451172 212.79576110839844 294.81890869140625 260.91961669921875],0.7671216130256653,KE64GYQ,0.6241287809441984
97,106.0,[670.9542236328125 576.3136596679688 1113.3084716796875 1024.755859375],[143.82806396484375 212.82559204101562 294.859130859375 260.88128662109375],0.7677872180938721,KE64GYQ,0.6241287809441984
98,106.0,[670.9006958007812 576.5104370117188 1113.2791748046875 1024.7889404296875],[143.62356567382812 212.85536193847656 294.984375 261.0714416503906],0.7665737867355347,KE64GYH,0.3130783420139074
99,106.0,[670.8233032226562 576.6563720703125 1113.25927734375 1024.9627685546875],[143.72938537597656 212.99514770507812 294.94842529296875 260.85797119140625],0.7674915790557861,KE64GYH,0.21751582401700667
100,106.0,[670.79248046875 576.7254638671875 1113.2298583984375 1025.015380859375],[143.51231384277344 212.58718872070312 294.6962585449219 260.5801086425781],0.7438173294067383,KE64GYH,0.21751582401700667
104,106.0,[670.8736572265625 576.5675048828125 1113.1920166015625 1026.380126953125],[144.37753295898438 213.2272491455078 294.34619140625 260.98822021484375],0.7451556921005249,KE64GYH,0.45906725965335105
105,106.0,[671.0021362304688 576.5535278320312 1113.2445068359375 1026.716552734375],[142.40155029296875 213.00157165527344 293.1412048339844 261.0604248046875],0.748291015625,KE64GYA,0.434115964933755
106,106.0,[671.1255493164062 576.4160766601562 1113.2332763671875 1031.5123291015625],[143.4376220703125 211.81387329101562 293.8367614746094 262.6489562988281],0.7004798650741577,KE64GYM,0.46458735526845657
107,106.0,[671.3720703125 576.4342041015625 1113.0582275390625 1037.06298828125],[142.78744506835938 212.4954376220703 293.5796813964844 258.5811767578125],0.7443899512290955,KE64GYN,0.5711099160703279
108,106.0,[671.4605102539062 576.42138671875 1113.08935546875 1039.128173828125],[142.89483642578125 212.2797393798828 294.0081787109375 259.4158020019531],0.7705183625221252,KE64GYN,0.5652095457304943
109,106.0,[671.424072265625 576.3838500976562 1113.0523681640625 1039.9774169921875],[142.80218505859375 212.21348571777344 294.005615234375 259.43853759765625],0.7699675559997559,KE64GYW,0.5236753376820891
110,106.0,[671.4710083007812 576.3827514648438 1112.9788818359375 1040.29833984375],[142.39915466308594 212.32235717773438 293.8409423828125 259.3625793457031],0.7466992139816284,KE64GYW,0.5312535176290851
111,106.0,[671.5360107421875 576.4389038085938 1112.9205322265625 1040.36279296875],[142.22640991210938 212.26351928710938 293.9547424316406 259.2650451660156],0.7491999864578247,KE64GYW,0.5644970504038596
112,106.0,[671.5506591796875 576.491943359375 1112.9136962890625 1040.2159423828125],[142.2431640625 212.19229125976562 293.9571533203125 259.3335266113281],0.7486584186553955,KE64GYW,0.5808775568815527
113,106.0,[671.5615844726562 576.4921264648438 1112.913330078125 1040.3072509765625],[142.2583770751953 212.14324951171875 293.98675537109375 259.42376708984375],0.7439179420471191,KE64GYW,0.5704484919294314
114,106.0,[671.5352172851562 576.603515625 1112.87939453125 1040.5572509765625],[142.2807159423828 211.97462463378906 294.6095886230469 259.0024108886719],0.7420865297317505,KE64GYH,0.5856182681143439
115,106.0,[671.519775390625 576.6560668945312 1112.8955078125 1040.607421875],[142.32029724121094 211.9943084716797 294.54534912109375 259.007080078125],0.7427380084991455,KE64GYH,0.5856182681143439
116,106.0,[671.4352416992188 576.6640625 1112.9407958984375 1040.2081298828125],[142.2339630126953 212.07962036132812 294.55029296875 259.0157165527344],0.7395768165588379,KE64GYW,0.5184819356226567
117,106.0,[671.4028930664062 576.648681640625 1112.936279296875 1040.2899169921875],[142.20440673828125 212.06788635253906 294.56207275390625 259.02593994140625],0.7391706705093384,KE64GYW,0.5184819356226567
118,106.0,[671.4117431640625 576.66796875 1112.9835205078125 1040.2984619140625],[142.2113037109375 212.03782653808594 294.58502197265625 259.0481262207031],0.7388933300971985,KE64GYW,0.4686951036229879
119,106.0,[671.4802856445312 576.7687377929688 1112.9810791015625 1039.777587890625],[141.9170379638672 212.2852325439453 293.7845153808594 259.23785400390625],0.7592089176177979,KE64GYH,0.4297291178082558
120,106.0,[671.4949951171875 576.8162841796875 1112.9710693359375 1039.6234130859375],[141.9048614501953 212.28297424316406 293.79473876953125 259.2237548828125],0.7577742338180542,KE64GYH,0.4481854354399888
121,106.0,[671.5084228515625 576.7933959960938 1112.938720703125 1038.8817138671875],[142.1815643310547 211.9552459716797 293.65277099609375 258.6032409667969],0.7588775753974915,KE64GYH,0.8740088131893679
122,106.0,[671.515380859375 576.7890014648438 1112.9580078125 1038.6986083984375],[142.0462188720703 211.94784545898438 293.5801086425781 258.6520690917969],0.7570527791976929,KE64GYH,0.849482132219741
123,105.0,[406.1479797363281 624.9723510742188 703.809814453125 896.1023559570312],[41.0850944519043 126.95783996582031 122.63655853271484 154.17446899414062],0.7174567580223083,LL60OBE,0.06775518429004844
123,106.0,[671.5159912109375 576.8410034179688 1112.9459228515625 1038.72216796875],[142.05621337890625 211.9636993408203 293.5805969238281 258.635498046875],0.75534987449646,KE64GYH,0.8528990156891473
124,106.0,[671.4515380859375 576.7775268554688 1112.996826171875 1039.0908203125],[141.50814819335938 212.07264709472656 293.7147521972656 259.43505859375],0.7546748518943787,KE64GYW,0.33604250540230995
125,106.0,[671.4391479492188 576.7056274414062 1113.0626220703125 1039.2088623046875],[142.21885681152344 212.2647247314453 293.97210693359375 259.3543395996094],0.7606638073921204,KE64GYW,0.6106698738182902
126,106.0,[671.3833618164062 576.66357421875 1113.0770263671875 1039.2000732421875],[142.18304443359375 212.27684020996094 293.993896484375 259.3823547363281],0.7607108354568481,KE64GYW,0.5934989527374477
127,106.0,[671.3638305664062 576.66552734375 1113.1488037109375 1039.1622314453125],[142.2386932373047 212.21096801757812 293.99102783203125 259.4283447265625],0.7629576325416565,KE64GYW,0.5939253113980156
128,106.0,[671.3461303710938 576.6250610351562 1113.2255859375 1038.9302978515625],[142.05987548828125 212.1519317626953 293.26690673828125 258.5942687988281],0.7578257322311401,KE64GYW,0.5932002170620869
129,106.0,[671.351806640625 576.583740234375 1113.215576171875 1038.70751953125],[142.0741424560547 212.093994140625 293.2962341308594 258.6270751953125],0.7587196826934814,KE64GYW,0.6033125927643227
130,106.0,[671.3286743164062 576.5703735351562 1113.2457275390625 1038.8831787109375],[142.0931396484375 212.03094482421875 293.3155517578125 258.5973815917969],0.7589501738548279,KE64GYW,0.6021529119971489
131,106.0,[671.2622680664062 576.5660400390625 1113.2100830078125 1038.613525390625],[142.2472686767578 212.117431640625 293.1997375488281 258.5313720703125],0.7586257457733154,KE64GYW,0.6398386801943039
132,106.0,[670.8123779296875 576.4998779296875 1113.328857421875 1038.6806640625],[142.7887420654297 212.170166015625 294.2117919921875 258.6109924316406],0.753475546836853,KE64GYH,0.35457810097772224
